method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
kriging,150,37,1.1666915102019395,0.800559241511813,0.9937944487643458,3.385694373751612,0.2662022113800049,0.0005450248718261719,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.410830728731976,0.6615964269104562,0.9908971335606825,6.447426295412292,0.00046133995056152344,0.00010085105895996094,,True,thin_plate_spline,0.0,,,,,
spline,150,37,337.1413568682873,133.94622711053853,-518.819312808886,1259.8670903850596,0.002137422561645508,2.3126602172851562e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,1.242072844723257,0.6529374868624754,0.9929445863010042,6.239545045328505,0.2576873302459717,0.00020575523376464844,,True,,,,,rbf,1e-06,5.0
rbf,150,37,2.0799365260038027,0.8458388613960883,0.9779436444892318,9.272050213148109,0.0004603862762451172,0.00010228157043457031,,True,thin_plate_spline,0.0,,,,,
spline,150,37,1.7922233063004305,0.8348257318855625,0.9836236228672262,6.94683825541005,0.0012493133544921875,2.288818359375e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.8038289685080862,0.48366279190438016,0.9967057170653874,2.4030519822384306,0.2567558288574219,0.00022149085998535156,,True,,,,,rbf,1e-06,5.0
rbf,150,37,0.6705593430998257,0.3373667348569493,0.997105136650398,2.5097263065066002,0.0004677772521972656,0.00010967254638671875,,True,thin_plate_spline,0.0,,,,,
spline,150,37,4.5746956526544045,1.219418370002217,0.8652657389868786,26.605413269226865,0.0011954307556152344,2.2649765014648438e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.7632589891166949,0.45744650144189547,0.9962494281693132,3.303950234190083,0.39471912384033203,0.00022149085998535156,,True,,,,,rbf,1e-06,5.0
