method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
rbf,100,25,1.9302153039804761,0.8742610296720404,0.9894890367121845,6.734931735140584,0.273207426071167,0.0004544258117675781,,True,thin_plate_spline,0.0,,,,,
spline,100,25,270.25134889797954,54.671123345814586,-205.04721579154213,1351.2374337277936,0.0037374496459960938,9.083747863769531e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,1.9320939500932066,1.065315419952595,0.9894685664675532,5.734549163988554,4.229519367218018,0.0010900497436523438,,True,,,,,rbf,1e-06,5.0
rbf,100,25,0.5952561042275648,0.3387993815118817,0.9971456390202095,1.9710486091344883,0.25384521484375,0.00044536590576171875,,True,thin_plate_spline,0.0,,,,,
spline,100,25,419.46152458076716,94.95331552332568,-1416.377199945762,2080.2349366550816,0.0025980472564697266,8.487701416015625e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,0.7585129334671054,0.5498043625991421,0.9953652409502067,1.6741830741506867,2.6976184844970703,0.0014796257019042969,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.659379892298116,0.6474553062536359,0.9881140533092012,9.155305425329573,0.17045807838439941,0.0007176399230957031,,True,thin_plate_spline,0.0,,,,,
spline,150,37,717009.7820877967,117930.69324421759,-2219178790.3825,4361399.804128604,0.011876344680786133,0.00014448165893554688,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.9045720605965312,0.5424739022366811,0.9964679367588422,3.1442087608141165,3.3473939895629883,0.0015103816986083984,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.155547886641053,0.6292245599910242,0.9939124269497214,4.592243193726521,0.688115119934082,0.0007033348083496094,,True,thin_plate_spline,0.0,,,,,
spline,150,37,86.20151642796432,19.594909118808403,-32.876466301518185,517.6462849238948,0.02359318733215332,9.965896606445312e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,1.1666912967574012,0.8005590120289172,0.9937944510349389,3.385694416185377,3.122640609741211,0.0014066696166992188,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.4108307287282567,0.661596426909907,0.9908971335607305,6.447426295378833,0.3848910331726074,0.0007100105285644531,,True,thin_plate_spline,0.0,,,,,
spline,150,37,337.1413568682873,133.94622711053853,-518.819312808886,1259.8670903850596,0.011795997619628906,0.00010251998901367188,,True,,0.0,3.0,3.0,,,
kriging,150,37,1.2420728447276324,0.6529374868658111,0.9929445863009545,6.2395450453424814,3.6324384212493896,0.0014030933380126953,,True,,,,,rbf,1e-06,5.0
rbf,150,37,2.079936526005181,0.8458388614010132,0.9779436444892026,9.272050213152358,0.5183837413787842,0.0007216930389404297,,True,thin_plate_spline,0.0,,,,,
spline,150,37,1.7922233063004305,0.8348257318855625,0.9836236228672262,6.94683825541005,0.0063822269439697266,9.703636169433594e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.8038289685089883,0.4836627919046715,0.9967057170653799,2.4030519822419905,4.539075136184692,0.001539468765258789,,True,,,,,rbf,1e-06,5.0
rbf,150,37,0.6705593430998661,0.33736673485804475,0.9971051366503977,2.509726306506849,0.6401736736297607,0.0007078647613525391,,True,thin_plate_spline,0.0,,,,,
spline,150,37,4.5746956526544045,1.219418370002217,0.8652657389868786,26.605413269226865,0.024013519287109375,0.00011754035949707031,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.7632587454057472,0.4574460731636815,0.996249430564451,3.3039515906132735,4.233723163604736,0.0014541149139404297,,True,,,,,rbf,1e-06,5.0
